time_s,imsi,cell_id,old_state,new_state
0.0,1001,1,5,9
1.1810011986120532,1001,1,9,5
4.112573705073914,1001,1,5,9
4.65619295169754,1001,1,9,5
6.343463078955891,1001,1,5,9
8.522599460658256,1001,1,9,5
10.08627831565119,1001,1,5,9
12.055860749966339,1001,1,9,5
12.581354127289075,1001,1,5,9
13.109710454429186,1001,1,9,5
23.879199529099864,1001,1,5,9
26.2948776894306,1001,1,9,5
29.78124359267103,1001,1,5,9
38.11885083022115,1001,1,9,5
43.75624987976403,1001,1,5,9
44.72838355593404,1001,1,9,5
46.46573309580895,1001,1,5,9
51.59347395730661,1001,1,9,5
54.44413493892289,1001,1,5,9
56.20084894739318,1001,1,9,5
64.5929119643841,1001,1,5,9
65.35090594848027,1001,1,9,5
71.46579548608776,1001,1,5,9
73.86018540812157,1001,1,9,5
80.22682462644823,1001,1,5,9
84.89560467146156,1001,1,9,5
89.56840678055869,1001,1,5,9
91.93828531306157,1001,1,9,5
92.47302431363848,1001,1,5,9
93.20151844328579,1001,1,9,5
0.0,1002,1,5,9
3.8719865557050124,1002,1,9,5
5.824819413407427,1002,1,5,9
7.932552513384826,1002,1,9,5
14.954565722176614,1002,1,5,9
15.260853533209856,1002,1,9,5
17.13238601643103,1002,1,5,9
18.065249528731197,1002,1,9,5
21.460473302949257,1002,1,5,9
26.141066761957543,1002,1,9,5
28.286189768772115,1002,1,5,9
32.4125738073163,1002,1,9,5
38.70472786318737,1002,1,5,9
40.227530971832394,1002,1,9,5
42.827988797181774,1002,1,5,9
46.43920645680185,1002,1,9,5
50.74342504527986,1002,1,5,9
54.803948476790765,1002,1,9,5
60.27440781529554,1002,1,5,9
61.69946924830435,1002,1,9,5
68.32108916032624,1002,1,5,9
68.68208198183878,1002,1,9,5
73.87621314344558,1002,1,5,9
75.49645134255637,1002,1,9,5
93.5041165529241,1002,1,5,9
95.46966388633795,1002,1,9,5
99.84146099669505,1002,1,5,9
100.08189387846598,1002,1,9,5
102.14178488422245,1002,1,5,9
106.32597005100611,1002,1,9,5
0.0,1003,1,5,9
2.592242872901019,1003,1,9,5
5.950291734690654,1003,1,5,9
6.246094564163098,1003,1,9,5
10.300122211144693,1003,1,5,9
10.360236924102027,1003,1,9,5
14.625929437326661,1003,1,5,9
28.379793149519983,1003,1,9,5
30.552955770047024,1003,1,5,9
31.299539663134713,1003,1,9,5
42.124205648990284,1003,1,5,9
42.42193602528791,1003,1,9,5
59.73226064437941,1003,1,5,9
62.54370872465033,1003,1,9,5
70.52095399040978,1003,1,5,9
73.7737449727584,1003,1,9,5
81.38580499981235,1003,1,5,9
82.59953346365097,1003,1,9,5
91.65690034571635,1003,1,5,9
98.05697510652506,1003,1,9,5
136.5555312620759,1003,1,5,9
139.26884479750495,1003,1,9,5
149.8608936659685,1003,1,5,9
151.95895053832484,1003,1,9,5
152.24345549769507,1003,1,5,9
152.39396180153838,1003,1,9,5
159.57239211706164,1003,1,5,9
162.42820678556618,1003,1,9,5
170.38502682134492,1003,1,5,9
170.59748649000574,1003,1,9,5
